"","solID","mape","decomp.rssd","nrmse","nrmse_test","nrmse_train","facebook_cost","google_ads_cost","bing_ads_cost","tiktok_cost","influencer_cost","tiktok_influencer_cost","tatari_cost","mntn_cost","dm_cost","cluster","top_sol"
"40","5_102_19",0,0.249345431308066,0.400432194392458,0.939892822342859,0.0928251899898964,0.802903358290123,0.1364361915891,0.184880249416592,0.0679402145258853,0.430214580888039,0.144214067125168,0.406490287560078,0.197944380124217,0.332912013436699,3,FALSE
"41","5_102_5",0,0.444591056924781,0.329566990270721,0.864099954965021,0.102153558136929,0.402081407883066,0.372896788673769,0.982510992392461,0.32797788989964,0.388166198300729,0.47713555646217,0.149495808799724,0.161966691826096,0.0533418158398778,1,FALSE
"42","5_102_6",0,0.507188878168947,0.278771425062068,0.829166211955076,0.0966548701752597,0.166234469619898,0.424260072427521,0.389308645402194,0.268472349919314,0.211770417907916,0.956122887681516,0.933771069343836,0.683995232648342,0.366693712253058,2,FALSE
"43","5_103_1",0,0.563534493425234,0.266657369093739,0.777418960404394,0.0966929228287972,0.0741988303868323,0.82004273745821,0.179289060099504,0.330727446360862,0.158814172399216,0.936891759902867,0.720655707121439,0.637582414512425,0.482117166778397,2,FALSE
"44","5_103_14",0,0.51301056845759,0.274678089549435,0.811061022853945,0.096912599705953,0.205670535732297,0.405608336945016,0.243541900302257,0.402374954898827,0.555945212717105,0.785723492222217,0.56761129154567,0.61071357782408,0.504267301674524,2,FALSE
"45","5_103_19",0,0.470088703021551,0.289867423353238,0.866224104485052,0.0987386093955712,0.31109554835491,0.295467784859872,0.68444933229079,0.350999107564593,0.542055469398853,0.678537026291827,0.501497330770318,0.449208741024725,0.299383770862368,1,FALSE
"46","5_103_5",0,0.440589588108135,0.330238674406617,0.920266489120222,0.102298190453458,0.435945686270872,0.473532411753968,0.834417541354055,0.342682500674875,0.701538572111594,0.440804285425048,0.340742668354063,0.0889279894287317,0.11130722003136,1,FALSE
"47","5_103_7",0,0.608816405361887,0.261406265568736,0.784981592234575,0.097053333514048,0.205713256488541,0.471870963842441,0,0.537584346805381,0.372549391999568,0.787382672100473,0.727517458354364,0.609805833329846,0.679468486867174,4,FALSE
"48","5_104_10",0,0.68787181058556,0.257154980268985,0.740950472900442,0.0967430775990543,0.0605074817674904,0.479922102884641,0,0.632103773298519,0.156615894216827,0.83146554429831,0.566289306616262,0.723816072994757,0.809876849725989,4,FALSE
"49","5_104_11",0,0.259080119129611,0.397941043070022,0.93923232498613,0.0927143528726267,0.813117232637512,0.162585615169841,0.206990954290932,0.106492302510586,0.426025352726415,0.137464765438032,0.426514378270439,0.25795756202176,0.327072575638603,3,FALSE
"50","5_104_19",0,0.47412619633806,0.288070249357016,0.872558064222674,0.0980494654627424,0.274766480697862,0.297163180090255,0.742104459929817,0.312531513693587,0.444789863164117,0.745525913417063,0.601043387784545,0.561629523211829,0.285021199582755,1,FALSE
