"","ds","dep_var","trend","season","holiday","print_launch","product_launch","solidcolor_launch","mb_status","sale_status","facebook_cost","google_ads_cost","bing_ads_cost","tiktok_cost","influencer_cost","tiktok_influencer_cost","tatari_cost","mntn_cost","dm_cost","sms_cost","cj_cost","fig_cost","linkby_cost","sms_sends","email_campaign_delivery","email_flow_delivery","organic_impressions","intercept","depVarHat","solID","cluster","top_sol"
"3530",2022-06-26,1429763,0,108137.07853101,0,-20111.6654633537,-22823.2475848607,-48386.198252037,0,0,627881.747299171,323119.24716312,0,51626.8600823704,111046.526973577,0,0,5.42823953780994e-10,3.89295237408601e-08,41190.1374279247,106978.619191567,0,0,133672.872341344,42375.743491815,0,0,0,1454707.72120169,"3_103_6",4,TRUE
"3531",2022-07-03,1398221,0,96829.8188597989,46358.3133110736,-10726.2215804553,-15877.041798164,-33659.964001417,0,0,616085.929282933,321517.833461812,0,51960.9006608144,114033.269709988,0,0,1.39272847636518e-10,8.40998092107502e-09,33907.2189107336,48812.0563373772,0,0,88595.0967354401,60055.9268180845,0,0,0,1417893.13670803,"3_103_6",4,TRUE
"3532",2022-07-10,1315327,0,81437.9503355525,0,-1915.39671079559,-8930.83601146724,-18933.7297507971,-3691.69559479672,14730.1133078034,581032.089043868,298378.662223309,0,49966.6047248677,102494.129088237,0,0,3.5733364295509e-11,1.81681593546776e-09,33045.919104115,12315.4386820914,0,0,76401.4435927378,89576.7587601191,0,0,0,1305907.45079485,"3_103_6",4,TRUE
"3533",2022-07-17,1252591,0,45493.665009238,0,-15514.7133574443,-2126.38952653982,-4508.03089304692,0,0,543812.968073869,282766.231581656,0,50702.3297907736,105857.122573307,0,0,9.16814257440913e-12,3.92488422309622e-10,32947.7672344697,10016.2247890905,0,0,40998.0677134132,53052.4589491712,0,0,0,1143497.70193796,"3_103_6",4,TRUE
"3534",2022-07-24,1138504,0,-4614.62553570869,0,-29497.1093462521,0,0,0,0,530451.972648651,268406.028996781,0,51778.9055333545,100468.910164408,0,0,2.35227888338679e-12,8.47896358897834e-11,32936.6152711148,4144.99846638011,0,0,108057.207266429,80755.5787295354,0,0,0,1142888.48219469,"3_103_6",4,TRUE
"3535",2022-07-31,1000073,0,-47000.8675706715,0,-20111.6654633537,0,0,0,0,556145.65809526,260073.991136726,0,51932.2490283806,100512.114814661,0,0,6.03526385014142e-13,1.83171832484026e-11,32128.4231450615,3185.70373440982,0,0,41222.1296664012,68704.6749502755,0,0,0,1046792.41153715,"3_103_6",4,TRUE
"3536",2022-08-07,1094489,0,-61326.8960664741,0,-10726.2215804553,0,-45981.9151090786,-3691.69559479672,0,572626.124134489,235430.96238355,0,51987.3526784889,92557.0580985257,0,0,1.54847326981826e-13,3.95707799231137e-12,31903.5612283383,1003.49387796293,0,0,131532.30995681,100229.237600539,0,0,0,1095543.3716079,"3_103_6",4,TRUE
"3537",2022-08-14,989555,0,-39802.7061124006,0,-1915.39671079559,-18428.7092300118,-39971.2072516827,0,0,500045.038641074,206100.633993054,0,44464.3546748943,106457.594177155,0,0,3.97293229737664e-14,8.54851208555801e-13,31878.0041506922,211.710367909773,0,0,130424.786577725,77719.4312743099,0,0,0,997183.534551924,"3_103_6",4,TRUE
"3538",2022-08-21,870487,0,7157.07509572555,0,0,-19846.302247705,-25244.9730010628,0,0,440289.54079287,179248.687614986,0,26258.4117969542,92022.4021288466,0,0,1.01933894160091e-14,1.84674295070556e-13,31875.1011927569,225.91181885693,0,0,39379.8043145494,102882.861462683,0,0,0,874248.520969461,"3_103_6",4,TRUE
"3539",2022-08-28,882402,0,47972.5267144325,0,0,-12900.0964610082,-10518.7387504428,0,58920.4532312136,407271.754621825,146041.212701062,0,15782.4164155146,97147.4371267124,0,0,2.61532742088294e-15,3.98953583015031e-14,27273.6108210291,133.026611995709,0,0,124147.198875347,111884.086079786,0,0,0,1013154.88798747,"3_103_6",4,TRUE
