"","solID","mape","decomp.rssd","nrmse","nrmse_test","nrmse_train","collab_spend","facebook_cost","google_ads_cost","bing_ads_cost","tiktok_cost","influencer_cost","tiktok_influencer_cost","tatari_cost","mntn_cost","dm_cost","sms_cost","cj_cost","fig_cost","linkby_cost","cluster","top_sol"
"55","5_104_14",0,0.0402255211277639,0.233447112017422,0.487803301573067,0.0466949088289605,0.319627570077313,0.201405950335245,0.562645820803203,0.167245186591263,0.171823504403894,0.7472802235997,0,0.00933000731442029,0.744669724094323,0.0507270714668905,0,0.123469339264677,0,0,7,FALSE
"56","5_104_5",0,0.0425200560112442,0.226678155165711,0.472140825814376,0.046415955905828,0.360936861044898,0.222795889958564,0.560708608425236,0.147262796890323,0.140490329482785,0.72934932558317,0,0.121304130476459,0.570160809370393,0.150968580930174,0,0.309836515567445,0,0,5,FALSE
"57","5_105_16",0,0.0425605626035112,0.226557584089367,0.472352077647125,0.0464157869218274,0.36109411880799,0.222066891394997,0.560607031327622,0.142353038135315,0.14110976127297,0.728791322632869,0,0.121903577048331,0.635955771741005,0.154798596459245,0,0.309978634772117,0,0,5,FALSE
"58","5_105_19",0,0.0454515590765347,0.227175371980474,0.464292453812976,0.0467564757732452,0.340572447160458,0.148165974059316,0.564302336128886,0.05965851949786,0.0225620715569896,0.75740277124493,0,0.271758851457564,0.726638682681586,0.274217022688973,0,0.308484653483438,0,0,5,TRUE
"59","5_106_17",0,0.097975307092247,0.221727043453371,0.604874709747704,0.045466186209455,0.509192029619286,0.127179435286158,0.389703511458657,0.0520866226998446,0.0316878114143697,0.595667672997562,0,0.627049965798468,0,0.808620211943099,0,0.371524984389335,0,0,1,FALSE
"60","5_106_3",0,0.0634953959641832,0.225771317332471,0.610148617987694,0.0451659339146762,0.449582097658677,0.13790303641568,0.451804553833533,0.080485415898387,0.319492740908268,0.620049034877979,0,0.152382802886577,0.842048955693009,0.634108458987032,0,0.0389982573370259,0,0,2,FALSE
"61","5_80_10",0,0.0396896383019595,0.296714087394987,0.607580150635118,0.0495011134747341,0.229553409933644,0.0648989732945331,0.51102731396738,0.46557387276152,0.0825676767468195,0.609190413518949,0,0,0,0,0.259662190702325,0.201826646320201,0,0,3,FALSE
"62","5_80_7",0,0.0432205111886949,0.234046052696005,0.571491235552445,0.0468091546627289,0.323873078282749,0.218496295946181,0.550811877948525,0.20489980548743,0.186609402527706,0.747019919049492,0,0.0138856357586701,0.696244560805841,0,0,0.181479066878851,0,0,7,FALSE
"63","5_81_12",0,0.0373959295130698,0.294195062740904,0.593360644451211,0.0496372279345519,0.221815769440627,0.121636312641621,0.546034211341977,0.174966429122001,0.0828539189320071,0.637722245183791,0,0,0,0,0.590403359379521,0.297003630484284,0,0,3,FALSE
"64","5_81_18",0,0.0432569090383878,0.233932789092547,0.571569794869409,0.0468093603730939,0.324661173627525,0.21754560616766,0.550470256603116,0.200054119490279,0.187399083184255,0.746102840471351,0,0.0155578164845083,0.781947855789211,0,0,0.181657176429138,0,0,7,FALSE
"65","5_82_12",0,0.0349415941474629,0.298320148617779,0.596475682235082,0.0494599227140393,0.209054094449202,0.0887274417093558,0.532601457255032,0.321165075007425,0.0514843138824968,0.657629364942779,0,0,0,0,0.585553846712696,0.215827062791081,0,0,3,FALSE
"66","5_82_18",0,0.0371613672012953,0.294740729310976,0.591583434598602,0.0494659616759408,0.23180210886671,0.0883182681949817,0.530268556397045,0.368581860274249,0.0721607521223426,0.597185779256763,0,0,0,0,0.397451901289411,0.252341211053136,0,0,3,FALSE
"67","5_83_10",0,0.0439557995906781,0.233950429911055,0.570713313669299,0.0468429437680214,0.322395900815551,0.214613411418273,0.546201135878992,0.225296488337376,0.175099582485578,0.746548609938003,0,0.0295159160498212,0.732497946534316,0,0,0.212727961570984,0,0,7,FALSE
"68","5_83_13",0,0.0352947960753828,0.296240472182129,0.601978718163008,0.0494632529594116,0.217045040773259,0.0875840653346993,0.532962469901345,0.354036653350948,0.118390765804183,0.612162206099816,0,0,0,0,0.370564558687155,0.196514746609084,0,0,3,FALSE
"69","5_83_19",0,0.039687423294164,0.291844325382565,0.600659991012265,0.0489259829603967,0.231354764966084,0.139102671766322,0.559264269366372,0.152707185018658,0.127377463673872,0.614165375191863,0,0,0,0,0.289726292890192,0.240475568614705,0,0,3,FALSE
"70","5_84_8",0,0.0350814555939123,0.298620729029085,0.605691768208166,0.0500450795866891,0.205248470254282,0.0974707544450722,0.529271057251978,0.269724826132769,0.109479616258519,0.600563457948426,0,0,0,0,0.674891952843085,0.256693139486483,0,0,3,FALSE
"71","5_85_2",0,0.0513084194263278,0.232057500968001,0.576539694221257,0.0465547632329764,0.341000299477129,0.228748382992364,0.53337383820261,0.164774123601828,0.222291631722483,0.723116137703082,0,0.00993652761544599,0.895387206596155,0.00618548117532578,0,0.177017278850739,0,0,7,FALSE
"72","5_85_5",0,0.0338972011319932,0.296527346700867,0.592313061939659,0.0496442174178071,0.2132736120616,0.0828461453306132,0.540731436085684,0.362400847009863,0.0460869801898528,0.618923491268876,0,0,0,0,0.555658738932701,0.200333210392284,0,0,3,FALSE
"73","5_86_11",0,0.0399969497460518,0.245190154634727,0.563252875075683,0.0470548025385475,0.326284966006968,0.159637810596309,0.54233347479659,0.240808795975897,0.155385539817686,0.721830712123918,0,0.0673604380463237,0.207528346440871,0.000472920677346782,0,0.144424708227795,0,0,6,FALSE
"74","5_86_13",0,0.0698841333528032,0.231245158725433,0.574435943105518,0.046128561228452,0.345741788557653,0.235391982445927,0.488045972002025,0.0830405178482188,0.25843790685307,0.629127649260128,0,0.00482740599956991,0.476980195737357,0.195181801001014,0,0.141109667814193,0,0,5,FALSE
"75","5_87_11",0,0.0353147503919631,0.29854784196456,0.604861548497907,0.0500535346759469,0.205712000389582,0.0959895977206999,0.523514715969019,0.305983954163532,0.106765277709621,0.599932800996126,0,0,0,0,0.68894314880482,0.252744597011778,0,0,3,FALSE
"76","5_87_18",0,0.0387436603955175,0.286799307904463,0.589289069273652,0.0493008067563585,0.211869458504777,0.0897485083197129,0.571424623375585,0.248471409061571,0.11116858858504,0.652347565823818,0,0,0,0,0.352068766776906,0.199986108089779,0,0,3,FALSE
"77","5_87_5",0,0.0399110111086894,0.251917686260489,0.565245551810666,0.047306182566867,0.251788837277535,0.0769614257331403,0.52198995181033,0.435624806109887,0,0.714163412211922,0,0.181922849199176,0.438926941332723,0.197097549293241,0,0.106441177039211,0,0,5,FALSE
"78","5_87_8",0,0.0348372644422219,0.29594594211291,0.603063930962706,0.0492150167428177,0.207966098347014,0.0651515762670898,0.538698403639669,0.271504654269118,0.0641694173310581,0.622318500461957,0,0,0,0,0.475642218408723,0.205301372080761,0,0,3,FALSE
"79","5_88_3",0,0.0415167839521446,0.245414095762711,0.560215356825074,0.047102386005124,0.32401199841961,0.159866328746381,0.546827310167721,0.256241086524091,0.130021693563323,0.727241905507856,0,0.0901451173868535,0.0101500155300541,0.00592172942757418,0,0.145615856911282,0,0,6,FALSE
"80","5_91_18",0,0.0397032225330704,0.300246683878463,0.603457013692257,0.0505404924848214,0.146356012131107,0.0775271340804827,0.550370467610156,0.275886435132441,0.0450411877369033,0.572976629748096,0,0,0,0,1,0.335934973480505,0,0,3,FALSE
"81","5_91_5",0,0.0381719364922918,0.296154470469211,0.601414308152313,0.0498387783378807,0.195480383014447,0.0983397424394164,0.558202923906464,0.409256501255306,0.0357468431054768,0.677805405225159,0,0,0,0,0.669697551496862,0.223221509518075,0,0,3,FALSE
"82","5_93_19",0,0.0355225831898983,0.27965729042027,0.59239950033344,0.0469461689292966,0.236343607209079,0.0303947550935582,0.522825708697344,0.21556995723219,0.0292971384351026,0.617192778891639,0,0.0881854207541565,0,0.101283201870286,0.0726697609358805,0.0978897528970858,0,0,6,FALSE
"83","5_94_11",0,0.0656356143017243,0.230068271770054,0.577611133243614,0.0460196774163458,0.339955623417878,0.232672596037239,0.488104219857038,0.0953611066662699,0.240251871152667,0.627198125323035,0,0.0133979286005029,0.58728234478588,0.242370219248525,0,0.139148459374143,0,0,5,FALSE
"84","5_94_18",0,0.0447759212558966,0.233118189753489,0.558039384919275,0.046808951097237,0.321628967650033,0.136290922796677,0.565787105874588,0.0076698726256284,0.0431820847528577,0.689539419235251,0,0.278877058336507,0.417433271736866,0.261709192172816,0,0.279930186497151,0,0,5,FALSE
"85","5_94_2",0,0.040117694041371,0.238511442012614,0.504605404157289,0.046989835843926,0.349061243342657,0.180728455207534,0.548502692490719,0.311098681120315,0.204708955739918,0.677940683752866,0,0.052583974409293,0,0.0303355464700876,0,0.0789302743479417,0,0,6,TRUE
"86","5_94_5",0,0.060720012812075,0.232896809476548,0.579619749498786,0.0463786151370303,0.358022718866391,0.222810657994302,0.488757732444161,0.164564200044318,0.199430373501842,0.65873052563562,0,0.0551599269455892,0.408074803774584,0.249294859658878,0,0.126838128434504,0,0,5,FALSE
"87","5_95_11",0,0.0415984060627643,0.236900097013343,0.569258747982077,0.0472376903081261,0.295949982704503,0.193451930679869,0.557155822830658,0.257233574421983,0.146186177818869,0.7584421510011,0,0.0220103797275789,0.746957542829989,0,0,0.227879864531516,0,0,7,FALSE
