"","solID","mape","decomp.rssd","nrmse","nrmse_test","nrmse_train","facebook_cost","google_ads_cost","tiktok_cost","influencer_cost","other_cost","cluster","top_sol"
"64","1_98_2",0,0.0310254234486859,0.64285878585388,1.03009734259619,0.0545957412196225,0.584016977509973,0.47204985271695,0.16095918279846,0.529065477966154,0,1,FALSE
"65","1_99_11",0,0.0321076364382084,0.632702882182418,1.03159474004041,0.0545177663641217,0.597452297147926,0.513712946171741,0.197189072163436,0.561484055531559,0,1,FALSE
"66","1_99_12",0,0.0339358479447681,0.626195024886639,1.02747268953949,0.0542046406517312,0.602386202624264,0.501312215876506,0.229948964227436,0.503292481113326,0,1,FALSE
"67","1_99_18",0,0.0345094160888905,0.63011663501534,1.03144721818978,0.054325214457685,0.584163845923979,0.517222342537938,0.216917460149906,0.533268532191111,0,1,FALSE
"68","1_99_6",0,0.0328093525840295,0.631794856246959,1.01511501883525,0.0544872453662604,0.623121371267109,0.484401034813612,0.188227189664567,0.511574733489848,0,1,FALSE
"69","2_106_16",0,0.0174501763622188,0.739060093963719,1.21680393921674,0.0562104143467871,0.185280022764767,0.193428974944143,0.0472286771705375,0.178020589133668,0.669863679352954,3,FALSE
"70","2_106_4",0,0.0181330993671201,0.724837836246565,1.22849195809197,0.0558931756737124,0.205716181625783,0.189645544851779,0.0601196700087451,0.247384869545785,0.848999850556323,3,FALSE
"71","2_106_6",0,0.0308314117813738,0.717235237417149,1.26187043861828,0.0546783867395496,0.303589074755182,0.270959753796125,0.088055849855953,0.26343564810328,0,6,FALSE
"72","3_100_11",0,0.0427489756743956,0.624408677331818,1.01685554562849,0.0543756808730291,0.861468564578005,0.849141182666715,0.275513524042613,0.761976610542743,0,2,FALSE
"73","3_100_12",0,0.0383250626053771,0.616989197993464,1.02223436898206,0.0534091439702091,0.87233745257031,0.820316781475434,0.188965339625849,0.817283613962596,0,2,FALSE
"74","3_100_8",0,0.087064045277197,0.618832264054286,1.0044360590223,0.0536581854627981,0.788348848730334,1,0.179199654356909,1,0,2,FALSE
"75","3_101_19",0,0.07086018246765,0.620078771949632,1.00597268173297,0.0541291922380011,0.811961204792823,0.935337634429298,0.230135151871695,0.973758517914358,0,2,FALSE
"76","3_102_10",0,0.0724960866165947,0.624042826587202,1.02159735682227,0.0535823901272154,0.83193360241143,0.996932837873571,0.24598929593878,0.603092619416274,0,2,FALSE
